iter	Passed	Remaining
0	3	326
1	5	290
2	8	268
3	10	251
4	13	248
5	15	242
6	18	240
7	20	235
8	22	231
9	25	228
10	27	224
11	30	222
12	32	219
13	35	218
14	37	214
15	40	210
16	42	208
17	45	206
18	47	202
19	50	200
20	52	197
21	54	194
22	57	191
23	59	189
24	62	186
25	64	183
26	67	181
27	69	178
28	72	177
29	75	175
30	78	174
31	81	172
32	84	170
33	86	168
34	89	166
35	92	164
36	94	161
37	97	158
38	99	156
39	102	153
40	104	150
41	105	146
42	108	143
43	111	141
44	113	138
45	116	136
46	118	133
47	121	131
48	124	129
49	127	127
50	129	124
51	132	122
52	135	119
53	137	117
54	139	114
55	141	111
56	144	108
57	146	106
58	149	103
59	152	101
60	154	98
61	157	96
62	160	94
63	162	91
64	165	89
65	168	86
66	170	84
67	173	81
68	175	78
69	178	76
70	180	73
71	183	71
72	185	68
73	188	66
74	190	63
75	193	61
76	195	58
77	198	55
78	200	53
79	203	50
80	206	48
81	208	45
82	211	43
83	213	40
84	216	38
85	218	35
86	221	33
87	223	30
88	226	27
89	228	25
90	231	22
91	234	20
92	236	17
93	239	15
94	241	12
95	244	10
96	246	7
97	248	5
98	251	2
99	253	0
