iter	Passed	Remaining
0	88	88034
1	90	45219
2	95	31572
3	97	24393
4	101	20129
5	103	17208
6	106	15070
7	109	13518
8	111	12299
9	114	11326
10	117	10548
11	120	9880
12	122	9288
13	125	8811
14	127	8395
15	131	8065
16	134	7783
17	137	7494
18	140	7242
19	143	7008
20	145	6795
21	148	6612
22	151	6434
23	154	6279
24	157	6139
25	160	6001
26	162	5862
27	165	5739
28	168	5627
29	170	5517
30	173	5414
31	175	5323
32	178	5239
33	181	5157
34	185	5108
35	187	5031
36	190	4963
37	193	4905
38	196	4853
39	199	4792
40	202	4741
41	205	4694
42	208	4648
43	211	4597
44	214	4542
45	216	4491
46	219	4441
47	221	4390
48	224	4351
49	226	4308
50	229	4265
51	232	4234
52	234	4197
53	237	4160
54	240	4136
55	243	4112
56	246	4076
57	248	4043
58	251	4011
59	254	3991
60	257	3962
61	260	3936
62	263	3913
63	265	3884
64	268	3860
65	271	3844
66	274	3822
67	277	3800
68	280	3779
69	282	3759
70	285	3737
71	289	3727
72	292	3708
73	294	3690
74	297	3665
75	300	3653
76	303	3636
77	305	3616
78	308	3591
79	310	3570
80	313	3558
81	316	3540
82	317	3509
83	320	3497
84	323	3478
85	325	3460
86	328	3445
87	331	3435
88	334	3421
89	336	3407
90	339	3387
91	341	3372
92	344	3359
93	347	3348
94	350	3335
95	352	3320
96	354	3303
97	357	3287
98	363	3305
99	365	3288
100	367	3274
101	370	3259
102	372	3244
103	375	3231
104	377	3219
105	379	3204
106	382	3191
107	384	3178
108	387	3165
109	390	3155
110	392	3143
111	394	3125
112	396	3111
113	398	3099
114	401	3089
115	404	3079
116	405	3061
117	407	3048
118	409	3034
119	411	3019
120	413	3005
121	415	2993
122	418	2984
123	420	2971
124	422	2957
125	425	2948
126	427	2935
127	429	2925
128	432	2917
129	434	2909
130	437	2899
131	439	2891
132	442	2882
133	444	2874
134	447	2866
135	450	2861
136	453	2857
137	456	2851
138	458	2842
139	461	2833
140	464	2828
141	466	2817
142	469	2811
143	471	2803
144	474	2796
145	476	2789
146	480	2785
147	483	2780
148	485	2774
149	488	2767
150	490	2759
151	493	2751
152	495	2744
153	498	2740
154	501	2733
155	503	2726
156	506	2719
157	509	2713
158	512	2710
159	515	2704
160	516	2692
161	519	2685
162	521	2679
163	524	2672
164	526	2665
165	529	2660
166	532	2656
167	534	2648
168	537	2642
169	540	2637
170	542	2632
171	545	2625
172	547	2619
173	550	2612
174	552	2606
175	555	2599
176	557	2593
177	560	2588
178	562	2580
179	565	2574
180	568	2570
181	570	2563
182	573	2559
183	575	2554
184	578	2546
185	581	2542
186	583	2538
187	585	2530
188	588	2527
189	591	2521
190	594	2515
191	596	2511
192	599	2505
193	601	2500
194	604	2495
195	607	2490
196	609	2484
197	612	2479
198	614	2475
199	617	2471
200	620	2465
201	622	2460
202	625	2454
203	627	2448
204	630	2443
205	631	2435
206	634	2430
207	637	2425
208	639	2420
209	641	2414
210	644	2409
211	646	2403
212	649	2399
213	651	2391
214	653	2386
215	656	2381
216	658	2377
217	661	2371
218	663	2367
219	666	2362
220	669	2358
221	671	2353
222	674	2348
223	676	2343
224	678	2337
225	681	2332
226	683	2327
227	685	2322
228	688	2317
229	691	2313
230	694	2310
231	696	2306
232	699	2301
233	701	2297
234	704	2293
235	706	2285
236	708	2281
237	711	2277
238	713	2272
239	716	2267
240	718	2262
241	720	2257
242	722	2251
243	725	2247
244	727	2242
245	730	2237
246	732	2233
247	735	2229
248	736	2222
249	739	2219
250	742	2215
251	744	2210
252	746	2205
253	749	2201
254	751	2196
255	754	2192
256	757	2188
257	759	2184
258	762	2180
259	764	2176
260	766	2170
261	768	2165
262	771	2161
263	774	2157
264	776	2153
265	779	2150
266	781	2145
267	784	2143
268	787	2138
269	789	2134
270	792	2131
271	794	2127
272	797	2122
273	800	2119
274	802	2115
275	805	2112
276	807	2108
277	810	2105
278	813	2101
279	815	2098
280	818	2093
281	820	2089
282	823	2086
283	826	2082
284	828	2079
285	831	2075
286	833	2071
287	836	2067
288	839	2064
289	841	2061
290	844	2057
291	847	2053
292	849	2049
293	852	2047
294	855	2043
295	857	2040
296	860	2036
297	863	2033
298	865	2029
299	868	2026
300	871	2023
301	874	2020
302	876	2016
303	879	2013
304	881	2009
305	884	2006
306	887	2002
307	889	1997
308	892	1994
309	894	1991
310	897	1988
311	900	1985
312	902	1980
313	904	1976
314	907	1972
315	909	1968
316	912	1965
317	915	1962
318	917	1958
319	920	1955
320	922	1951
321	924	1947
322	927	1943
323	929	1939
324	932	1936
325	934	1933
326	937	1929
327	940	1926
328	942	1923
329	945	1919
330	947	1915
331	950	1912
332	953	1908
333	955	1905
334	958	1901
335	960	1898
336	963	1894
337	965	1891
338	968	1888
339	971	1885
340	973	1881
341	976	1878
342	978	1874
343	981	1871
344	983	1868
345	986	1864
346	988	1860
347	991	1856
348	993	1853
349	995	1849
350	998	1845
351	1000	1842
352	1003	1838
353	1005	1835
354	1008	1832
355	1011	1829
356	1013	1826
357	1016	1823
358	1019	1820
359	1022	1817
360	1024	1813
361	1027	1810
362	1030	1807
363	1032	1804
364	1035	1800
365	1037	1797
366	1040	1793
367	1042	1790
368	1044	1786
369	1047	1783
370	1050	1781
371	1052	1777
372	1055	1774
373	1058	1771
374	1060	1768
375	1063	1765
376	1066	1762
377	1068	1758
378	1070	1754
379	1073	1751
380	1076	1748
381	1078	1745
382	1081	1741
383	1083	1738
384	1086	1735
385	1088	1732
386	1091	1728
387	1093	1724
388	1096	1721
389	1098	1718
390	1101	1714
391	1103	1711
392	1106	1708
393	1108	1705
394	1111	1702
395	1113	1698
396	1116	1695
397	1118	1692
398	1121	1689
399	1123	1685
400	1126	1682
401	1128	1679
402	1131	1675
403	1133	1672
404	1136	1669
405	1139	1666
406	1141	1663
407	1143	1659
408	1146	1656
409	1149	1653
410	1151	1650
411	1154	1647
412	1156	1644
413	1159	1640
414	1161	1637
415	1164	1634
416	1166	1631
417	1169	1628
418	1171	1624
419	1174	1621
420	1176	1618
421	1179	1615
422	1182	1612
423	1184	1608
424	1186	1605
425	1189	1602
426	1192	1599
427	1194	1596
428	1197	1593
429	1199	1590
430	1202	1587
431	1204	1584
432	1207	1580
433	1209	1577
434	1212	1574
435	1214	1571
436	1216	1567
437	1219	1564
438	1221	1561
439	1224	1558
440	1226	1555
441	1229	1552
442	1232	1549
443	1234	1546
444	1237	1543
445	1240	1540
446	1242	1537
447	1245	1534
448	1247	1530
449	1249	1527
450	1252	1524
451	1255	1521
452	1257	1518
453	1260	1515
454	1263	1513
455	1265	1510
456	1268	1506
457	1270	1503
458	1273	1500
459	1275	1497
460	1278	1494
461	1280	1491
462	1283	1488
463	1285	1485
464	1288	1482
465	1291	1479
466	1293	1476
467	1296	1473
468	1298	1470
469	1301	1467
470	1304	1464
471	1306	1461
472	1309	1458
473	1311	1455
474	1313	1452
475	1316	1448
476	1318	1445
477	1321	1442
478	1323	1439
479	1326	1436
480	1328	1433
481	1331	1430
482	1334	1428
483	1336	1425
484	1339	1422
485	1341	1418
486	1344	1415
487	1346	1413
488	1349	1409
489	1351	1406
490	1354	1403
491	1356	1400
492	1359	1397
493	1361	1394
494	1364	1391
495	1366	1388
496	1369	1385
497	1371	1382
498	1373	1379
499	1376	1376
500	1379	1373
501	1381	1370
502	1384	1367
503	1386	1364
504	1389	1361
505	1391	1358
506	1393	1355
507	1396	1352
508	1399	1349
509	1401	1346
510	1403	1343
511	1406	1340
512	1408	1337
513	1411	1334
514	1413	1331
515	1416	1328
516	1418	1325
517	1421	1322
518	1423	1319
519	1426	1316
520	1429	1314
521	1431	1311
522	1434	1308
523	1436	1305
524	1439	1302
525	1442	1299
526	1444	1296
527	1446	1293
528	1449	1290
529	1451	1287
530	1454	1284
531	1456	1281
532	1459	1278
533	1462	1275
534	1464	1272
535	1467	1270
536	1469	1267
537	1472	1264
538	1474	1261
539	1477	1258
540	1479	1255
541	1482	1252
542	1484	1249
543	1487	1246
544	1489	1243
545	1492	1240
546	1494	1238
547	1497	1235
548	1500	1232
549	1502	1229
550	1505	1226
551	1507	1223
552	1510	1221
553	1513	1218
554	1516	1215
555	1519	1213
556	1521	1210
557	1524	1207
558	1526	1204
559	1529	1201
560	1531	1198
561	1534	1195
562	1537	1193
563	1539	1190
564	1542	1187
565	1544	1184
566	1547	1181
567	1550	1178
568	1552	1176
569	1555	1173
570	1557	1170
571	1560	1167
572	1562	1164
573	1565	1161
574	1567	1158
575	1570	1156
576	1573	1153
577	1575	1150
578	1578	1147
579	1580	1144
580	1583	1141
581	1585	1139
582	1588	1136
583	1591	1133
584	1593	1130
585	1596	1127
586	1598	1124
587	1601	1122
588	1604	1119
589	1606	1116
590	1608	1113
591	1611	1110
592	1614	1107
593	1616	1104
594	1619	1102
